OrderNumber,CustomerName,Store,JobType,ScheduledInstallDate,CurrentStatus,Revenue,Lot,Tract,JobNumber,MaterialLinesCount,SampleMaterials
"604130C1","PULTE HOMES OF INDIANAP MS1050","003","RESILIENT - LV CLICK","","","-143.85","","","RVP 62 - LVT","","INDIANAPOLIS - VARIANCE / SURCHARGE FEE - INDIANAPOLIS - N"
"CG524172","HAGAN PROPERTIES, BELLE AT CEDAR CREEK (AIA)","005","RESILIENT - MULTIPLE","","","101930.56","","","UNIT LVT & BROADLOOM CARPET","39","SPARTAN SURFACES - KATANGA 7""X48"" GLUE DOWN; MOHAWK FACTORING LLC - AMPED - ABAC - WELDLOK - 12FT 00IN; LEXINGTON - CARPET LABOR - CUT PILE - UNDER 35 OZ - EMPTY - LEXINGTON - C"
"CG534746","HAGAN PROPERTIES, BELLE AT CEDAR CREEK (AIA)","005","RESILIENT - MULTIPLE","2026-04-01","SCHEDULED","52700","","","LVT & HARDWOOD - CLUBHOUSE","16","SPARTAN SURFACES - KATANGA 7""X48"" GLUE DOWN; MANNINGTON MILLS - LATITUDE COLLECTION PARK CITY HB 37 ( 23.400 FT2 /CTN); ALL SURFACES - MAPEI ULTRABOND ECO 399 RESILIENT ADHESIVE 4 GALLON (STOCK 1/2/3/5/6)"
"CG600906","HAGAN PROPERTIES, BELLE AT CEDAR CREEK (AIA)","005","RESILIENT - LV CLICK","","","44082","","","BLDG 7 (TYPE A) - LVP","5","LOUISVILLE - LVP/LVT/WPC/SPC LABOR - GLUE DOWN - EMPTY - LOUISVILLE - N; DS SMITH PACKAGING - CORRUGATED CARDBOARD 1000SF E FLUTE (STOCK 1/3/5/19); BLUE DOLPHIN SUNDRIES - AXIS APT WASHI TAPE 0200 1.88"" (24 PER CASE) (STOCK 1/2/3/5/6/19)"
"CG606390","ELITE HOMES","005","RESILIENT - LV CLICK","2026-06-10","JOB CUT","7293.5","132","Reserve at L'Esprit","RLE 132 - LVT","9","SHAW INDUSTRIES - WILLINGHAM HD NB; DS SMITH PACKAGING - CORRUGATED CARDBOARD 1000SF E FLUTE (STOCK 1/3/5/19); BLUE DOLPHIN SUNDRIES - AXIS APT WASHI TAPE 0200 1.88"" (24 PER CASE) (STOCK 1/2/3/5/6/19)"
"CG608331","TAYLOR HOMES - LOUISVILLE","005","RESILIENT - LV CLICK","","","0","15902 Somers","15902 Somers","15902 - LVT","0",""
"CG609466","HAGAN PROPERTIES, BELLE AT CEDAR CREEK (AIA)","005","RESILIENT - LV GLUE","","","8962.81","","","CHANGE ORDER #8","3","SHAW INDUSTRIES - SEA EDGE 24""X24""; SHAW INDUSTRIES - SEA TILE 24""X24""; SPARTAN SURFACES - KATANGA 7""X48"" LOOSE LAY"
"CG610686","ELITE HOMES","005","RESILIENT - LV CLICK","","","6533.1","134","Reserve at L'Esprit","RLE 134 - LVT","6","SHAW INDUSTRIES - GALBERRY; SHAW INDUSTRIES - MULTI PR RD; DS SMITH PACKAGING - CORRUGATED CARDBOARD 1000SF E FLUTE (STOCK 1/3/5/19)"
"CG612431","ONYX & EAST INDIANAPOLIS","003","RESILIENT - LV CLICK","2026-07-14","SCHEDULED","1316","15","Westbranch Holdings","WBH 15 - WT","15","M S INTERNATIONAL INC. - CHARISMA WHITE 12X24 MATTE ( 16 SF PER BOX ); DALTILE - CBP PRISM 17 LB (STOCK COLORS); DALTILE - CBP COMMERCIAL 100% SILICONE 10.5 OZ (STOCK COLORS)"
"CG615976","BENNETT CUSTOM HOMES","003","RESILIENT - LV CLICK","","","16086.41","9250","W WOLF MOUNTAIN RD","ILKO -LVP","6","MOHAWK FACTORING LLC - REFINED FOREST - VINYL TILE - 9  X 72 - 4 PER CASE; MOHAWK FACTORING LLC - POLY-MHS 100SF - UNDERLAYMENT - ROLL (STOCK 1/2/3/5/6/19); STERLING DISTRIBUTION - CORRUGATED CARDBOARD 1000SF (STOCK 1/2/3/5/19)"
"CG616377","HAGAN PROPERTIES, BELLE AT CEDAR CREEK (AIA)","005","RESILIENT - LV CLICK","2026-06-15","SCHEDULED","44082","","","BLDG 8 LVP (TYPE A)","7","LOUISVILLE - LVP/LVT/WPC/SPC LABOR - GLUE DOWN - EMPTY - LOUISVILLE - N; DS SMITH PACKAGING - CORRUGATED CARDBOARD 1000SF E FLUTE (STOCK 1/3/5/19); BLUE DOLPHIN SUNDRIES - AXIS APT WASHI TAPE 0200 1.88"" (24 PER CASE) (STOCK 1/2/3/5/6/19)"
"CG616378","HAGAN PROPERTIES, BELLE AT CEDAR CREEK (AIA)","005","RESILIENT - LV CLICK","","","47925.23","","","BLDG 9 LVP (TYPE B-HC)","6","LOUISVILLE - LVP/LVT/WPC/SPC LABOR - GLUE DOWN - EMPTY - LOUISVILLE - N; DS SMITH PACKAGING - CORRUGATED CARDBOARD 1000SF E FLUTE (STOCK 1/3/5/19); BLUE DOLPHIN SUNDRIES - AXIS APT WASHI TAPE 0200 1.88"" (24 PER CASE) (STOCK 1/2/3/5/6/19)"
"CG616379","HAGAN PROPERTIES, BELLE AT CEDAR CREEK (AIA)","005","RESILIENT - LV CLICK","","","47925.23","","","BLDG 10 LVP (TYPE B-ALT)","5","LOUISVILLE - LVP/LVT/WPC/SPC LABOR - GLUE DOWN - EMPTY - LOUISVILLE - N; DS SMITH PACKAGING - CORRUGATED CARDBOARD 1000SF E FLUTE (STOCK 1/3/5/19); BLUE DOLPHIN SUNDRIES - AXIS APT WASHI TAPE 0200 1.88"" (24 PER CASE) (STOCK 1/2/3/5/6/19)"
"CG616380","HAGAN PROPERTIES, BELLE AT CEDAR CREEK (AIA)","005","RESILIENT - LV CLICK","","","47925.23","","","BLDG 11 LVP (TYPE B-ALT)","5","LOUISVILLE - LVP/LVT/WPC/SPC LABOR - GLUE DOWN - EMPTY - LOUISVILLE - N; DS SMITH PACKAGING - CORRUGATED CARDBOARD 1000SF E FLUTE (STOCK 1/3/5/19); BLUE DOLPHIN SUNDRIES - AXIS APT WASHI TAPE 0200 1.88"" (24 PER CASE) (STOCK 1/2/3/5/6/19)"
"CG616381","HAGAN PROPERTIES, BELLE AT CEDAR CREEK (AIA)","005","RESILIENT - LV CLICK","","","47925.23","","","BLDG 12 LVP (TYPE B)","6","LOUISVILLE - LVP/LVT/WPC/SPC LABOR - GLUE DOWN - EMPTY - LOUISVILLE - N; DS SMITH PACKAGING - CORRUGATED CARDBOARD 1000SF E FLUTE (STOCK 1/3/5/19); BLUE DOLPHIN SUNDRIES - AXIS APT WASHI TAPE 0200 1.88"" (24 PER CASE) (STOCK 1/2/3/5/6/19)"
"CG616382","HAGAN PROPERTIES, BELLE AT CEDAR CREEK (AIA)","005","RESILIENT - LV CLICK","","","44082","","","BLDG 13 LVP (TYPE A)","5","LOUISVILLE - LVP/LVT/WPC/SPC LABOR - GLUE DOWN - EMPTY - LOUISVILLE - N; DS SMITH PACKAGING - CORRUGATED CARDBOARD 1000SF E FLUTE (STOCK 1/3/5/19); BLUE DOLPHIN SUNDRIES - AXIS APT WASHI TAPE 0200 1.88"" (24 PER CASE) (STOCK 1/2/3/5/6/19)"
"CG616384","HAGAN PROPERTIES, BELLE AT CEDAR CREEK (AIA)","005","RESILIENT - LV CLICK","","","44082","","","BLDG 14 LVP (TYPE A)","5","LOUISVILLE - LVP/LVT/WPC/SPC LABOR - GLUE DOWN - EMPTY - LOUISVILLE - N; DS SMITH PACKAGING - CORRUGATED CARDBOARD 1000SF E FLUTE (STOCK 1/3/5/19); BLUE DOLPHIN SUNDRIES - AXIS APT WASHI TAPE 0200 1.88"" (24 PER CASE) (STOCK 1/2/3/5/6/19)"
"CG616385","HAGAN PROPERTIES, BELLE AT CEDAR CREEK (AIA)","005","RESILIENT - LV CLICK","","","44082","","","BLDG 15 LVP (TYPE A-HC)","7","LOUISVILLE - LVP/LVT/WPC/SPC LABOR - GLUE DOWN - EMPTY - LOUISVILLE - N; DS SMITH PACKAGING - CORRUGATED CARDBOARD 1000SF E FLUTE (STOCK 1/3/5/19); BLUE DOLPHIN SUNDRIES - AXIS APT WASHI TAPE 0200 1.88"" (24 PER CASE) (STOCK 1/2/3/5/6/19)"
"CG616606","DIYANNI HOMES - LOUISVILLE","005","RESILIENT - LV CLICK","2026-06-09","SCHEDULED","1992.88","1519","GAUSEPOHL","1519 GAUSE - LVT","12","CLARK-FISHMAN FLOORING - JOHNSONITE 8' QUARTER ROUND 1/2"" (STOCK COLORS); DIXIE HOME RETAIL - VINYL 1"" THRESHOLD; DS SMITH PACKAGING - CORRUGATED CARDBOARD 1000SF E FLUTE (STOCK 1/3/5/19)"
"CG616847","ESTRIDGE HOMES","003","RESILIENT - LV CLICK","2026-07-08","SCHEDULED","6856.23","120","Midland","MD 120 - LVT","9","SHAW INDUSTRIES - POLARIS PLUS; SHAW INDUSTRIES - MULTI PR RD LVT; SHAW INDUSTRIES - OVERLAP SN"
"CG617544","D.R. HORTON INDIANA (INDIANA DIVISION)","003","RESILIENT - LV GLUE","2026-06-10","SCHEDULED","3184.68","668","HOMESTEAD HLE","HH 668 - LVT GLUE","13","MOHAWK FACTORING LLC - ARRINGTON - VINYL TILE - 6  X 36 - 24 PER CASE (STOCK COLORS); PATRIOT TIMBER PRODUCTS - 5.2MM REVOLUTIONPLY 4'X8' LUAN (STOCK 1/2/3/5/6); ALL SURFACES - MAPEI ULTRABOND ECO 399 RESILIENT ADHESIVE 4 GALLON (STOCK 1/2/3/5/6)"
"CG617692","D.R. HORTON INDIANA (INDIANA DIVISION)","003","RESILIENT - LV GLUE","2026-06-09","SCHEDULED","2820.62","669","HOMESTEAD","HH 669 - LVT GLUE","12","MOHAWK FACTORING LLC - ARRINGTON - VINYL TILE - 6  X 36 - 24 PER CASE (STOCK COLORS); PATRIOT TIMBER PRODUCTS - 5.2MM REVOLUTIONPLY 4'X8' LUAN (STOCK 1/2/3/5/6); CLARK-FISHMAN FLOORING - JOHNSONITE 8' QUARTER ROUND 1/2"" (STOCK COLORS)"
"CG617755","FISCHER HOMES OF INDIANAPOLIS","003","RESILIENT - LV CLICK","2026-06-25","SCHEDULED","9971.8","11","The Cove","COV 11 - LVT","11","SHAW INDUSTRIES - FRIENDS; SHAW INDUSTRIES - BABY THRESHOLD W TRACK; SHAW INDUSTRIES - FLUSH SN 6.5   7.4MM"
"CG617773","EPCON COMMUNITIES - INDIANAPOLIS","003","RESILIENT - LV GLUE","2026-06-19","SCHEDULED","11564.33","","COURTYARDS OF RUSSELL OAK","CRO CLUBHOUSE - LVP GLUE","9","CHILEWICH LLC - BOULCE 18""X18"" VINYL BACKED TILE; CHILEWICH LLC - 1 GAL ADHESIVE; CHILEWICH LLC - 4 GAL ADHESIVE"
"CG618186","DAVIS BUILDING GROUP LLC","003","RESILIENT - LV CLICK","2026-07-02","SCHEDULED","10667.89","423","ON YOUR LOT","OYL 423 - LVT","9","OHIO VALLEY FLOORING - AQUA16 7  X 48  23.67SF; MOHAWK FACTORING LLC - POLY-MHS 100SF - UNDERLAYMENT - ROLL (STOCK 1/2/3/5/6/19); CLARK-FISHMAN FLOORING - JOHNSONITE 8' QUARTER ROUND 1/2"" (STOCK COLORS)"
