Builder,Order #,Job #,Lot,Tract,Store,Job Type,Install Date,Status,Revenue,Transitions Found
"PULTE HOMES OF INDIANAP MS1050","CG640247","HL30 182 - LVT","182","HIGHLANDS TCG 4 - 30'","003","RESILIENT - LV CLICK","","","3340.77",""
"PULTE HOMES OF INDIANAP MS1050","CG640944","HL30 186 - LVT","186","HIGHLANDS TCG 4 - 30'","003","RESILIENT - LV CLICK","","","2698.92",""
"PULTE HOMES OF INDIANAP MS1050","CG640693","RVND 36 - LVT","36","RIVENDELL","003","RESILIENT - LV CLICK","","","6319.33",""
"PULTE HOMES OF INDIANAP MS1050","CG640446","TRE 106 - LVT","106","TRESCOTT","003","RESILIENT - LV CLICK","","","5254.78",""
"PULTE HOMES OF INDIANAP MS1050","CG641059","TUN 602 - LVT","602","TOWNS AT UNION","003","RESILIENT - LV CLICK","","","5491.85",""
"PULTE HOMES OF INDIANAP MS1050","604130C1","RVP 62 - LVT","","","003","RESILIENT - LV CLICK","","","-143.85",""
"PULTE HOMES OF INDIANAP MS1050","CG627399","HL30 22 - LVT","22","Highlands TCG 4 - 30'","003","RESILIENT - LV CLICK","2026-06-08","SCHEDULED","2848.57",""
"PULTE HOMES OF INDIANAP MS1050","CG627508","SAND 61 - LVT","61","SANDSTONE LANDINGS","003","RESILIENT - LV CLICK","2026-06-10","SCHEDULED","4714.49",""
"PULTE HOMES OF INDIANAP MS1050","CG629963","PROC 6 - MODEL - LVT","6","Promenade Crossings","003","RESILIENT - LV CLICK","2026-06-11","SCHEDULED","6441.84",""
"PULTE HOMES OF INDIANAP MS1050","CG632536","HL30 24 - LVT","24","HIGHLANDS TCG","003","RESILIENT - LV CLICK","2026-06-12","SCHEDULED","3340.77",""
"PULTE HOMES OF INDIANAP MS1050","CG631477","TRE 115 - LVT","115","Trescott","003","RESILIENT - LV CLICK","2026-06-12","SCHEDULED","5857.84",""
"PULTE HOMES OF INDIANAP MS1050","CG630680","RVND 24 - LVP","24","RIVENDELL","003","RESILIENT - LV CLICK","2026-06-12","SCHEDULED","8659.11",""
"PULTE HOMES OF INDIANAP MS1050","CG632935","RVND 15 - LVT","15","Rivendell (Canak)","003","RESILIENT - LV CLICK","2026-06-12","FOLLOW UP","7130.37",""
"PULTE HOMES OF INDIANAP MS1050","CG632872","BRO 196 - LVT","196","Bridle Oaks","003","RESILIENT - LV CLICK","2026-06-15","SCHEDULED","5430.64",""
"PULTE HOMES OF INDIANAP MS1050","CG630032","HL30 21 - LVP","21","HIGHLAND TCG 4-30'","003","RESILIENT - LV CLICK","2026-06-16","SCHEDULED","2698.92",""
"PULTE HOMES OF INDIANAP MS1050","CG630648","HL30 147 - LVT","147","HIGHLANDS TCG 4 - 30'","003","RESILIENT - LV CLICK","2026-06-16","SCHEDULED","2848.57",""
"PULTE HOMES OF INDIANAP MS1050","CG633037","PROC 111 - LVT","111","Promenade Crossings 5-48'","003","RESILIENT - LV CLICK","2026-06-16","SCHEDULED","7255.43",""
"PULTE HOMES OF INDIANAP MS1050","CG631709","HL30 108 - LVT","108","Highlands","003","RESILIENT - LV CLICK","2026-06-18","SCHEDULED","3552.31",""
"PULTE HOMES OF INDIANAP MS1050","CG633000","BRO 195 - LVT","195","Bridle Oaks","003","RESILIENT - LV CLICK","2026-06-18","SCHEDULED","5430.64",""
"PULTE HOMES OF INDIANAP MS1050","CG632954","HL30 145 - LVT","145","Highlands TCG 4","003","RESILIENT - LV CLICK","2026-06-22","SCHEDULED","3400.60",""
"PULTE HOMES OF INDIANAP MS1050","CG637671","HL40 167 - MODEL - LVT","167","HIGHLAND 40","003","RESILIENT - LV CLICK","2026-06-24","SCHEDULED","7880.24",""
"PULTE HOMES OF INDIANAP MS1050","CG632988","SAND 15 - LVT","15","Sandstone Landings","003","RESILIENT - LV CLICK","2026-06-26","SCHEDULED","4782.02",""
"PULTE HOMES OF INDIANAP MS1050","CG635468","BRO 162 - LVT","162","Bridle Oaks","003","RESILIENT - LV CLICK","2026-06-29","SCHEDULED","5430.64",""
"PULTE HOMES OF INDIANAP MS1050","CG638168","SAND 39 - LVT","39","SANDSTONE LANDINGS","003","RESILIENT - LV CLICK","2026-07-02","SCHEDULED","4741.72",""
"PULTE HOMES OF INDIANAP MS1050","CG638274","TRE 161 - LVT","161","TESCOTT","003","RESILIENT - LV CLICK","2026-07-02","SCHEDULED","9556.95",""
"PULTE HOMES OF INDIANAP MS1050","CG638456","TRE 133 - LVT","133","TRESCOTT","003","RESILIENT - LV CLICK","2026-07-02","SCHEDULED","8354.06",""
"PULTE HOMES OF INDIANAP MS1050","CG635487","BRO 192 - LVT","192","Bridle Oaks","003","RESILIENT - LV CLICK","2026-07-02","SCHEDULED","4943.41",""
"PULTE HOMES OF INDIANAP MS1050","CG639653","SAND 62 - LVT","62","SANDSTONE LANDINGS","003","RESILIENT - LV CLICK","2026-07-06","SCHEDULED","4502.37",""
"PULTE HOMES OF INDIANAP MS1050","CG638614","TRE 107 - LVT","107","TRESCOTT","003","RESILIENT - LV CLICK","2026-07-06","SCHEDULED","5979.45",""
"PULTE HOMES OF INDIANAP MS1050","CG639542","BRO 169 - LVT","169","BRIDLE OAKS","003","RESILIENT - LV CLICK","2026-07-06","SCHEDULED","5430.64",""
"PULTE HOMES OF INDIANAP MS1050","CG635536","SAND 14 - LVT","14","Sandstone Landings","003","RESILIENT - LV CLICK","2026-07-07","SCHEDULED","4502.37",""
