Builder,Order #,Job #,Lot,Tract,Store,Job Type,Install Date,Status,Revenue
"PULTE HOMES OF LOUISV MS 1050","FN620877","KAR TCG 4 93 - LVT F/U","","","005","RESILIENT - LV CLICK","","","0.00"
"PULTE HOMES OF LOUISV MS 1050","FN615172","KCS TCG 4 95 - LVT","","","005","RESILIENT - LV CLICK","","","195.00"
"PULTE HOMES OF LOUISV MS 1050","CG622518","KCS TCG 4.5 180 - LVT","180","CREEKSTONE","005","RESILIENT - LV CLICK","2026-06-08","COMPLETED - ADDL LABOR","8480.02"
"PULTE HOMES OF LOUISV MS 1050","CG626209","KAR TCG 4.5 98 - LVT","98","AIKEN RIDGE TCG 4.5","005","RESILIENT - LV CLICK","2026-06-10","JOB CUT","9208.18"
"PULTE HOMES OF LOUISV MS 1050","CG630172","KCTF 162 - LVT - CLICK","162","CATALPA FARMS","005","RESILIENT - LV CLICK","2026-06-11","JOB CUT","3711.68"
"PULTE HOMES OF LOUISV MS 1050","CG627664","KAR TCG 4 95 - LVT","95","AIKEN RIDGE TCG 4","005","RESILIENT - LV CLICK","2026-06-11","JOB CUT","3164.63"
"PULTE HOMES OF LOUISV MS 1050","CG627833","KCTF 163 - LVT","163","CATALPA FARMS","005","RESILIENT - LV CLICK","2026-06-12","SCHEDULED","3711.68"
"PULTE HOMES OF LOUISV MS 1050","CG633875","KAM TCG 4.5 142 - LVP","142","ARDMORE TCG 4.5 COMBINED","005","RESILIENT - LV CLICK","2026-06-17","SCHEDULED","4403.48"
"PULTE HOMES OF LOUISV MS 1050","CG628039","KCTF 160 - LVT","160","CAPALTA FARMS","005","RESILIENT - LV CLICK","2026-06-18","SCHEDULED","4963.64"
"PULTE HOMES OF LOUISV MS 1050","CG627450","KCTF 176 - LVT","176","Catalpa Farms","005","RESILIENT - LV CLICK","2026-06-22","SCHEDULED","3827.76"
"PULTE HOMES OF LOUISV MS 1050","CG633848","KAM TCG 4.5 140 - LVP","140","ARDMORE TCG 4.5 COMBINED","005","RESILIENT - LV CLICK","2026-06-23","SCHEDULED","3648.82"
"PULTE HOMES OF LOUISV MS 1050","CG633629","KCS TCG 4.5 39 - LVP","39","CREEKSTONE TCG 4.5 PACKAG","005","RESILIENT - LV CLICK","2026-06-25","SCHEDULED","5867.19"
"PULTE HOMES OF LOUISV MS 1050","CG638232","KCTF 151 - LVT  CLICK","151","CATALPA FARMS","005","RESILIENT - LV CLICK","2026-06-30","SCHEDULED","4963.64"
"PULTE HOMES OF LOUISV MS 1050","CG633793","KCTF 155 - LVP","155","CATALPA FARMS","005","RESILIENT - LV CLICK","2026-07-01","SCHEDULED","4855.81"
"PULTE HOMES OF LOUISV MS 1050","CG633047","KAR TCG 4 71 - LVT","71","Aiken Ridge TCG 4","005","RESILIENT - LV CLICK","2026-07-01","SCHEDULED","3164.63"
"PULTE HOMES OF LOUISV MS 1050","CG638905","KAR TCG 4 96 - LVT - CLICK","96","AIKEN RIDGE TCG 4","005","RESILIENT - LV CLICK","2026-07-08","SCHEDULED","3982.62"
"PULTE HOMES OF LOUISV MS 1050","CG638213","KAR TCG 4 76 - LVT CLICK","76","AIKEN RIDGE TCG 4","005","RESILIENT - LV CLICK","2026-07-08","SCHEDULED","3982.62"
"PULTE HOMES OF LOUISV MS 1050","CG639990","KAM TCG 4.5 137 - LVT","137","ARDMORE TCG 4.5","005","RESILIENT - LV CLICK","2026-07-13","SCHEDULED","3729.89"
"PULTE HOMES OF LOUISV MS 1050","CG638847","KAR TCG 4.5 115 - LVT - CLICK","115","AIKEN RIDGE TCG 4.5","005","RESILIENT - LV CLICK","2026-07-13","SCHEDULED","4842.78"
"PULTE HOMES OF LOUISV MS 1050","CG639767","KAR TCG 4.5 89 - LVT - CLICK","89","AIKEN RIDGE TCG 4.5","005","RESILIENT - LV CLICK","2026-07-29","SCHEDULED","3827.76"
"PULTE HOMES OF LOUISV MS 1050","CG639946","KAR TCG 4.5 114 - LVT","114","AIKEN RIDGE TCG 4.5","005","RESILIENT - LV CLICK","2026-07-30","SCHEDULED","3827.76"
"ELITE HOMES","CG614993","RLE 110 - LVT","110","Reserve at L'Esprit","005","RESILIENT - LV CLICK","","","4588.50"
"ELITE HOMES","CG615389","RLE 158 - LVT","158","Reserve at L'Esprit","005","RESILIENT - LV CLICK","","","9267.25"
"ELITE HOMES","CG616779","RLE 126 - LVT","126","Reserve at L'Esprit","005","RESILIENT - LV CLICK","","","13163.75"
"ELITE HOMES","CG609415","RO 16 - LVT","16","Royal Oaks","005","RESILIENT - LV CLICK","","","3743.40"
"ELITE HOMES","CG603773","RLE 133 - LVT","133","Reserve at L'Esprit","005","RESILIENT - LV CLICK","","","5599.80"
"ELITE HOMES","CG610686","RLE 134 - LVT","134","Reserve at L'Esprit","005","RESILIENT - LV CLICK","","","6533.10"
"ELITE HOMES","CG601976","RLE 129 - LVT","129","Reserve at L'Esprit","005","RESILIENT - LV CLICK","","","15645.35"
"ELITE HOMES","CG606390","RLE 132 - LVT","132","Reserve at L'Esprit","005","RESILIENT - LV CLICK","2026-06-10","JOB CUT","7293.50"
"ELITE HOMES","CG601989","RO 13 - LVT","13","Royal Oaks","005","RESILIENT - LV CLICK","2026-06-11","JOB CUT","7328.70"
"ELITE HOMES","CG600754","RLE 131 - LVT","131","Reserve at L'Esprit","005","RESILIENT - LV CLICK","2026-06-18","INSPECTION FAILED - HALT","5599.80"
"ELITE HOMES","CG602087","RO 36 - LVT","36","Royal Oaks","005","RESILIENT - LV CLICK","2026-06-22","SCHEDULED","8994.54"
"ELITE HOMES","CG604945","RLE 128 - LVT","128","Reserve at L'Esprit","005","RESILIENT - LV CLICK","2026-07-02","SCHEDULED","7043.10"
"FISCHER HOMES OF LOUISVILLE","CG627215","SMK 425 - LVT","425","Sanctuary at Mallard Lake","005","RESILIENT - LV CLICK","","","5680.17"
"FISCHER HOMES OF LOUISVILLE","CG633604","BTH 301 - LVT","301","Bethel Springs","005","RESILIENT - LV CLICK","","","3674.60"
"FISCHER HOMES OF LOUISVILLE","CG630432","BGM 129 - LVT","129","Bluegrass Meadow","005","RESILIENT - LV CLICK","","","6469.37"
"FISCHER HOMES OF LOUISVILLE","CG632715","HPT 128A - LVT","128A","Harvest Point","005","RESILIENT - LV CLICK","","","3522.30"
"FISCHER HOMES OF LOUISVILLE","CG633585","HPT 128B - LVT","128B","Harvest Point","005","RESILIENT - LV CLICK","","","3522.30"
"FISCHER HOMES OF LOUISVILLE","CG614279","SMK 342 - LVT","342","Sanctuary at Mallard Lake","005","RESILIENT - LV CLICK","2026-06-17","SCHEDULED","6632.24"
"FISCHER HOMES OF LOUISVILLE","CG619339","SMK 428 - LVT","428","Sanctuary at Mallard Lake","005","RESILIENT - LV CLICK","2026-06-25","SCHEDULED","6651.00"
